service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1380_NE,0,0,0,0,0,0,0,20260709,20260930
1380_PD,0,0,0,0,0,0,0,20260709,20260930
1380_PR,0,0,0,0,0,0,0,20260709,20260930
1380_SO,0,0,0,0,0,0,0,20260709,20260930
1383_NE,0,0,0,0,0,0,0,20260709,20260930
1383_PD,0,0,0,0,0,0,0,20260709,20260930
1383_PR,0,0,0,0,0,0,0,20260709,20260930
1383_SO,0,0,0,0,0,0,0,20260709,20260930
