service_id,date,exception_type
1382_PD,20260901,1
1382_PD,20260902,1
1382_PD,20260903,1
1382_PD,20260904,1
1382_SO,20260905,1
1382_NE,20260906,1
1382_PD,20260907,1
1382_PD,20260908,1
1382_PD,20260909,1
1382_PD,20260910,1
1382_PD,20260911,1
1382_SO,20260912,1
1382_NE,20260913,1
1382_PD,20260914,1
1382_PD,20260915,1
1382_PD,20260916,1
1382_PD,20260917,1
1382_PD,20260918,1
1382_SO,20260919,1
1382_NE,20260920,1
1382_PD,20260921,1
1382_PD,20260922,1
1382_PD,20260923,1
1382_PD,20260924,1
1382_PD,20260925,1
1382_SO,20260926,1
1382_NE,20260927,1
1382_PD,20260928,1
1382_PD,20260929,1
1382_PD,20260930,1
